"Country","Growth_Absolut"
"Afghanistan",30375800
"Albania",517590
"Algeria",31107310
"American Samoa",17198
"Andorra",59964
"Angola",29559287
"Anguilla",9574
"Antigua and Barbuda",29247
"Argentina",21667515
"Armenia",246092
"Aruba",47339
"Australia",13582379
"Austria",1474316
"Azerbaijan",4932757
"Bahamas",230855
"Bahrain",1249678
"Bangladesh",103644512
"Barbados",40238
"Belarus",364168
"Belgium",2026554
"Belize",284367
"Benin",10329421
"Bermuda",12165
"Bhutan",483561
"Bolivia",7638417
"Bosnia and Herzegovina",-582035
"Botswana",2038052
"Brazil",118943623
"British Virgin Islands",21724
"Brunei",315659
"Bulgaria",-1800997
"Burkina Faso",17062096
"Burundi",9391742
"Cambodia",10059317
"Cameroon",21461749
"Canada",17019750
"Cape Verde",305887
"Cayman Islands",58173
"Central African Republic",3511788
"Chad",14055921
"Chile",9783252
"China",603352887
"Colombia",30968770
"Comoros",594423
"Cook Islands",-3459
"Costa Rica",3325132
"Croatia",-462280
"Cuba",2342555
"Curacao",40778
"Cyprus",610684
"Czech Republic",698242
"Denmark",959298
"Djibouti",976470
"Dominica",3842
"Dominican Republic",6752950
"DR Congo",78858479
"Ecuador",11828785
"Egypt",76208117
"El Salvador",2717302
"Equatorial Guinea",1357953
"Eritrea",2411284
"Estonia",-35937
"Eswatini",758805
"Ethiopia",95071678
"Falkland Islands",1506
"Faroe Islands",14674
"Fiji",402132
"Finland",934124
"France",14103042
"French Guiana",258073
"French Polynesia",188388
"Gabon",1791800
"Gambia",2177261
"Georgia",-1056041
"Germany",5075260
"Ghana",24613975
"Gibraltar",5964
"Greece",1840098
"Greenland",11032
"Grenada",26644
"Guadeloupe",77442
"Guam",83474
"Guatemala",12390700
"Guernsey",10645
"Guinea",9636967
"Guinea-Bissau",1513903
"Guyana",103465
"Haiti",6904184
"Honduras",7650107
"Hong Kong",3533793
"Hungary",-348058
"Iceland",168431
"India",859671872
"Indonesia",160272945
"Iran",60100865
"Iraq",34684775
"Ireland",2085472
"Isle of Man",29221
"Israel",6131002
"Italy",5713438
"Ivory Coast",22683456
"Jamaica",968286
"Japan",18534853
"Jersey",42431
"Jordan",9728495
"Kazakhstan",7132693
"Kenya",42554400
"Kiribati",73795
"Kuwait",3466087
"Kyrgyzstan",3614239
"Laos",4854192
"Latvia",-546763
"Lebanon",3107948
"Lesotho",1282344
"Liberia",3839118
"Libya",4903164
"Liechtenstein",18238
"Lithuania",-460092
"Luxembourg",308257
"Macau",447884
"Madagascar",22971963
"Malawi",15780176
"Malaysia",23631713
"Maldives",400544
"Mali",16440003
"Malta",217872
"Marshall Islands",17600
"Martinique",41079
"Mauritania",3613941
"Mauritius",469354
"Mayotte",290718
"Mexico",77214819
"Micronesia",55175
"Moldova",-438144
"Monaco",12199
"Mongolia",2104486
"Montenegro",96814
"Montserrat",-7012
"Morocco",22183620
"Mozambique",24557841
"Myanmar",26895194
"Namibia",1812545
"Nauru",6005
"Nepal",18046295
"Netherlands",4526328
"New Caledonia",178968
"New Zealand",2361227
"Nicaragua",4503625
"Niger",21538269
"Nigeria",162971948
"Niue",-3251
"North Korea",11072537
"North Macedonia",436816
"Northern Mariana Islands",39408
"Norway",1558773
"Oman",3905605
"Pakistan",176533990
"Palau",6689
"Palestine",4131831
"Panama",2892393
"Papua New Guinea",7653560
"Paraguay",4371957
"Peru",20487217
"Philippines",78123423
"Poland",7374202
"Portugal",1587234
"Puerto Rico",514788
"Qatar",2577115
"Republic of the Congo",4573435
"Reunion",500127
"Romania",-263351
"Russia",14620304
"Rwanda",9880331
"Saint Barthelemy",8550
"Saint Kitts and Nevis",2689
"Saint Lucia",76767
"Saint Martin",25989
"Saint Pierre and Miquelon",325
"Saint Vincent and the Grenadines",5489
"Samoa",79611
"San Marino",15491
"Sao Tome and Principe",149797
"Saudi Arabia",30302629
"Senegal",12948705
"Serbia",27832
"Seychelles",52739
"Sierra Leone",5827161
"Singapore",3913858
"Sint Maarten",37915
"Slovakia",1120586
"Slovenia",378558
"Solomon Islands",551440
"Somalia",13876534
"South Africa",37525579
"South Korea",19214667
"South Sudan",7570754
"Spain",13766013
"Sri Lanka",9443374
"Sudan",35568998
"Suriname",238122
"Sweden",2521645
"Switzerland",2559245
"Syria",15806050
"Taiwan",8935524
"Tajikistan",6959768
"Tanzania",51879556
"Thailand",35905302
"Timor-Leste",787275
"Togo",6651316
"Tokelau",157
"Tonga",20374
"Trinidad and Tobago",542154
"Tunisia",7308713
"Turkey",49800251
"Turkmenistan",4229338
"Turks and Caicos Islands",40038
"Tuvalu",5498
"Uganda",36932373
"Ukraine",-7577347
"United Arab Emirates",9143045
"United Kingdom",11858770
"United States",137961517
"United States Virgin Islands",36019
"Uruguay",632529
"Uzbekistan",22616291
"Vanuatu",239721
"Vatican City",-242
"Venezuela",16946221
"Vietnam",56258007
"Wallis and Futuna",2195
"Western Sahara",499615
"Yemen",26853007
"Zambia",15736004
"Zimbabwe",11117619
